['Highest', 'Highest', 'Random', 'Random', 0, 7, 1, 1, 0, 3, 1, 1]
['Highest', 'Highest', 'Random', 'Lowest', 0, 6, 3, 0, 0, 4, 0, 0]
['Highest', 'Highest', 'Lowest', 'Lowest', 0, 7, 4, 0, 0, 3, 3, 0]
['Random', 'Random', 'Lowest', 'Highest', 2, 7, 0, 0, 2, 4, 0, 0]
['Random', 'Lowest', 'Lowest', 'Lowest', 2, 5, 3, 0, 2, 3, 3, 0]
['Random', 'Lowest', 'Lowest', 'Random', 4, 3, 3, 0, 4, 2, 2, 0]
['Random', 'Highest', 'Highest', 'Highest', 0, 7, 3, 1, 0, 5, 1, 1]
['Random', 'Highest', 'Highest', 'Highest', 1, 5, 2, 1, 1, 4, 1, 1]
['Highest', 'Highest', 'Lowest', 'Random', 2, 4, 1, 1, 2, 4, 0, 0]
['Random', 'Highest', 'Lowest', 'Lowest', 2, 6, 2, 0, 2, 4, 2, 0]
['Random', 'Random', 'Random', 'Lowest', 0, 6, 1, 0, 0, 4, 1, 0]
['Lowest', 'Random', 'Lowest', 'Lowest', 3, 5, 2, 1, 2, 1, 0, 1]
['Highest', 'Lowest', 'Lowest', 'Highest', 1, 4, 3, 1, 1, 1, 2, 1]
['Lowest', 'Random', 'Random', 'Random', 1, 5, 2, 0, 1, 3, 2, 0]
['Random', 'Highest', 'Highest', 'Random', 1, 5, 2, 0, 1, 4, 2, 0]
['Lowest', 'Highest', 'Highest', 'Lowest', 1, 3, 4, 0, 1, 0, 2, 0]
['Random', 'Lowest', 'Random', 'Highest', 0, 5, 3, 0, 0, 3, 3, 0]
['Lowest', 'Highest', 'Random', 'Lowest', 4, 3, 2, 1, 3, 0, 1, 1]
['Highest', 'Random', 'Lowest', 'Highest', 0, 9, 7, 0, 0, 5, 5, 0]
['Highest', 'Random', 'Lowest', 'Random', 1, 2, 4, 0, 0, 2, 4, 0]
['Highest', 'Lowest', 'Highest', 'Lowest', 0, 4, 3, 0, 0, 4, 3, 0]
['Highest', 'Random', 'Random', 'Highest', 2, 6, 2, 0, 1, 3, 1, 0]
['Highest', 'Highest', 'Highest', 'Random', 0, 9, 5, 0, 0, 5, 4, 0]
['Lowest', 'Random', 'Lowest', 'Random', 3, 4, 2, 0, 3, 0, 0, 0]
['Lowest', 'Highest', 'Random', 'Random', 3, 5, 1, 1, 1, 0, 1, 1]
['Random', 'Highest', 'Highest', 'Lowest', 1, 5, 0, 1, 1, 4, 0, 0]
['Lowest', 'Lowest', 'Highest', 'Lowest', 2, 6, 3, 0, 0, 1, 0, 0]
['Lowest', 'Highest', 'Random', 'Lowest', 1, 5, 1, 0, 0, 2, 1, 0]
['Highest', 'Lowest', 'Highest', 'Random', 1, 4, 2, 2, 1, 3, 0, 1]
['Lowest', 'Highest', 'Random', 'Highest', 1, 2, 7, 1, 0, 2, 2, 1]
['Random', 'Highest', 'Lowest', 'Lowest', 3, 4, 2, 0, 3, 1, 1, 0]
['Lowest', 'Lowest', 'Random', 'Highest', 0, 5, 5, 0, 0, 1, 1, 0]
['Highest', 'Highest', 'Lowest', 'Lowest', 3, 6, 0, 0, 1, 4, 0, 0]
['Highest', 'Highest', 'Lowest', 'Lowest', 5, 5, 0, 0, 3, 4, 0, 0]
['Random', 'Highest', 'Random', 'Lowest', 0, 5, 0, 1, 0, 5, 0, 1]
['Random', 'Random', 'Lowest', 'Random', 0, 6, 1, 2, 0, 4, 1, 2]
['Lowest', 'Lowest', 'Lowest', 'Lowest', 2, 5, 0, 3, 1, 0, 0, 0]
['Random', 'Lowest', 'Random', 'Lowest', 0, 6, 1, 2, 0, 4, 0, 2]
['Random', 'Highest', 'Random', 'Lowest', 2, 7, 0, 0, 2, 4, 0, 0]
['Random', 'Lowest', 'Lowest', 'Random', 1, 4, 3, 2, 1, 3, 3, 2]
['Random', 'Random', 'Random', 'Highest', 0, 7, 0, 1, 0, 5, 0, 0]
['Lowest', 'Highest', 'Random', 'Random', 2, 3, 3, 2, 2, 1, 2, 2]
['Random', 'Random', 'Lowest', 'Random', 3, 5, 1, 0, 3, 3, 1, 0]
['Random', 'Random', 'Lowest', 'Lowest', 3, 6, 0, 0, 3, 3, 0, 0]
['Random', 'Highest', 'Random', 'Lowest', 1, 6, 0, 0, 0, 5, 0, 0]
['Random', 'Highest', 'Lowest', 'Highest', 1, 7, 0, 0, 1, 4, 0, 0]
