['Lowest', 'Highest', 2, 1, 2, 0]
['Highest', 'Highest', 0, 5, 0, 2]
['Lowest', 'Highest', 1, 3, 0, 2]
['Random', 'Highest', 2, 1, 2, 0]
['Random', 'Highest', 1, 2, 1, 0]
['Random', 'Random', 4, 0, 3, 0]
['Random', 'Random', 1, 4, 1, 3]
['Lowest', 'Random', 0, 5, 0, 3]
['Random', 'Lowest', 2, 2, 1, 2]
['Lowest', 'Highest', 0, 4, 0, 1]
['Random', 'Lowest', 2, 2, 1, 2]
['Random', 'Highest', 1, 3, 0, 2]
['Highest', 'Highest', 3, 2, 1, 1]
['Highest', 'Random', 3, 0, 3, 0]
['Random', 'Lowest', 3, 1, 3, 1]
['Highest', 'Random', 0, 4, 0, 3]
['Highest', 'Random', 1, 3, 0, 0]
['Random', 'Lowest', 0, 3, 0, 3]
['Random', 'Highest', 2, 2, 2, 1]
['Highest', 'Highest', 0, 5, 0, 2]
['Lowest', 'Random', 1, 2, 1, 0]
['Lowest', 'Random', 3, 1, 2, 0]
['Highest', 'Lowest', 0, 3, 0, 3]
['Lowest', 'Random', 0, 3, 0, 3]
['Highest', 'Random', 2, 1, 2, 0]
['Random', 'Random', 1, 3, 0, 2]
['Random', 'Highest', 2, 3, 2, 3]
['Lowest', 'Highest', 2, 3, 1, 2]
['Random', 'Highest', 0, 3, 0, 3]
['Lowest', 'Lowest', 4, 1, 2, 0]
['Random', 'Random', 0, 3, 0, 3]
['Highest', 'Highest', 1, 2, 0, 2]
['Random', 'Lowest', 3, 1, 3, 1]
['Highest', 'Random', 2, 3, 2, 3]
['Random', 'Lowest', 0, 3, 0, 3]
['Random', 'Random', 1, 3, 0, 2]
['Highest', 'Lowest', 2, 1, 2, 0]
['Random', 'Highest', 1, 3, 1, 3]
['Highest', 'Highest', 0, 5, 0, 3]
['Highest', 'Lowest', 0, 3, 0, 3]
['Lowest', 'Lowest', 0, 3, 0, 0]
['Lowest', 'Lowest', 2, 2, 2, 1]
['Random', 'Lowest', 3, 1, 1, 1]
['Random', 'Lowest', 2, 1, 2, 0]
['Highest', 'Random', 0, 5, 0, 3]
['Lowest', 'Highest', 1, 2, 1, 0]
['Highest', 'Lowest', 0, 3, 0, 3]
['Lowest', 'Highest', 3, 1, 3, 1]
['Lowest', 'Lowest', 4, 1, 2, 0]
['Highest', 'Highest', 1, 2, 1, 0]
